"Marca","Fragmento","Qué ocurre","Etiqueta didáctica"
"00:00–00:35","Presentación","Plantea la necesidad de un mapa conceptual de la IA: los términos IA, ML, redes neuronales, big data y deep learning se solapan y se interpretan de forma distinta","FUND-ML intro"
"00:35–01:33","¿Qué es la IA?","Reconoce que definir la IA es difícil porque ""inteligencia"" no tiene definición única; la idea común es crear máquinas que imiten comportamientos inteligentes (conducir, analizar patrones, reconocer voz, jugar)","FUND-ML"
"01:33–02:43","IA débil vs. fuerte","Máquinas sobresalientes en tareas específicas no poseen inteligencia general: distingue IA débil (solo una tarea, p. ej. un robot programado únicamente para andar) e IA fuerte (dominios diversos)","FUND-ML ETICA"
"02:43–03:26","Imitación vs. cognición","Imitar comportamiento inteligente no implica comprensión: programar el movimiento de un brazo robótico no le da inteligencia","FUND-ML"
"03:26–03:58","Subcampos de la IA","Presenta las subcategorías según el comportamiento inteligente: robótica (movimiento), NLP (lenguaje) y síntesis de voz (conversión de voz)","FUND-ML NLP RL-AGENTES"
"03:58–04:46","El papel del Machine Learning","El ML permite a las máquinas aprender de la experiencia y generalizar; presenta los tres grandes tipos: supervisado, no supervisado y por refuerzo","SUPERVISADO NOSUPERVISADO RL-AGENTES"
"04:46–05:13","ML dentro de la IA","El ML no es ""otra disciplina"" sino un componente central que conecta con el resto de áreas; explica por qué el ML se confunde con la IA en su conjunto: programar acciones concretas vs. aprender autónomamente","FUND-ML"
"05:13–05:37","Técnicas de ML","Repaso rápido de las técnicas/algoritmos clásicos de machine learning","SUPERVISADO NOSUPERVISADO"
"05:37–06:23","Redes neuronales y deep learning","El aprendizaje jerárquico: las primeras capas aprenden conceptos concretos (un tornillo, una rueda) y las capas más profundas conceptos abstractos (coches, camiones); ""deep learning"" = algoritmos de muchas capas","DEEP-LEARNING"
"06:23–07:27","Big Data","Estas técnicas requieren entrenar con ingentes cantidades de datos; vivimos la era de la digitalización y el valor del dato; big data = acumulación masiva + análisis de la recolección al conocimiento","FUND-ML Big Data"
"07:27–07:46","Cierre y mapa","Repaso del mapa conceptual completo: IA ⊃ ML ⊃ RN/DL, con big data como motor; despedida","FUND-ML síntesis"
